,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalArea
49,50,5.0,3.3,1.4,0.2,Iris-setosa,16.5
50,51,7.0,3.2,4.7,1.4,Iris-versicolor,22.400000000000002
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,20.480000000000004
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,21.39
53,54,5.5,2.3,4.0,1.3,Iris-versicolor,12.649999999999999
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,18.2
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,15.959999999999999
56,57,6.3,3.3,4.7,1.6,Iris-versicolor,20.79
57,58,4.9,2.4,3.3,1.0,Iris-versicolor,11.76
58,59,6.6,2.9,4.6,1.3,Iris-versicolor,19.139999999999997
59,60,5.2,2.7,3.9,1.4,Iris-versicolor,14.040000000000001
60,61,5.0,2.0,3.5,1.0,Iris-versicolor,10.0
61,62,5.9,3.0,4.2,1.5,Iris-versicolor,17.700000000000003
62,63,6.0,2.2,4.0,1.0,Iris-versicolor,13.200000000000001
63,64,6.1,2.9,4.7,1.4,Iris-versicolor,17.689999999999998
64,65,5.6,2.9,3.6,1.3,Iris-versicolor,16.24
65,66,6.7,3.1,4.4,1.4,Iris-versicolor,20.77
66,67,5.6,3.0,4.5,1.5,Iris-versicolor,16.799999999999997
67,68,5.8,2.7,4.1,1.0,Iris-versicolor,15.66
68,69,6.2,2.2,4.5,1.5,Iris-versicolor,13.640000000000002
69,70,5.6,2.5,3.9,1.1,Iris-versicolor,14.0
70,71,5.9,3.2,4.8,1.8,Iris-versicolor,18.880000000000003
71,72,6.1,2.8,4.0,1.3,Iris-versicolor,17.08
72,73,6.3,2.5,4.9,1.5,Iris-versicolor,15.75
73,74,6.1,2.8,4.7,1.2,Iris-versicolor,17.08
74,75,6.4,2.9,4.3,1.3,Iris-versicolor,18.56
75,76,6.6,3.0,4.4,1.4,Iris-versicolor,19.799999999999997
76,77,6.8,2.8,4.8,1.4,Iris-versicolor,19.04
77,78,6.7,3.0,5.0,1.7,Iris-versicolor,20.1
78,79,6.0,2.9,4.5,1.5,Iris-versicolor,17.4
79,80,5.7,2.6,3.5,1.0,Iris-versicolor,14.82
80,81,5.5,2.4,3.8,1.1,Iris-versicolor,13.2
81,82,5.5,2.4,3.7,1.0,Iris-versicolor,13.2
82,83,5.8,2.7,3.9,1.2,Iris-versicolor,15.66
83,84,6.0,2.7,5.1,1.6,Iris-versicolor,16.200000000000003
84,85,5.4,3.0,4.5,1.5,Iris-versicolor,16.200000000000003
85,86,6.0,3.4,4.5,1.6,Iris-versicolor,20.4
86,87,6.7,3.1,4.7,1.5,Iris-versicolor,20.77
87,88,6.3,2.3,4.4,1.3,Iris-versicolor,14.489999999999998
88,89,5.6,3.0,4.1,1.3,Iris-versicolor,16.799999999999997
89,90,5.5,2.5,4.0,1.3,Iris-versicolor,13.75
90,91,5.5,2.6,4.4,1.2,Iris-versicolor,14.3
91,92,6.1,3.0,4.6,1.4,Iris-versicolor,18.299999999999997
92,93,5.8,2.6,4.0,1.2,Iris-versicolor,15.08
93,94,5.0,2.3,3.3,1.0,Iris-versicolor,11.5
94,95,5.6,2.7,4.2,1.3,Iris-versicolor,15.12
95,96,5.7,3.0,4.2,1.2,Iris-versicolor,17.1
96,97,5.7,2.9,4.2,1.3,Iris-versicolor,16.53
97,98,6.2,2.9,4.3,1.3,Iris-versicolor,17.98
98,99,5.1,2.5,3.0,1.1,Iris-versicolor,12.75
99,100,5.7,2.8,4.1,1.3,Iris-versicolor,15.959999999999999
100,101,6.3,3.3,6.0,2.5,Iris-virginica,20.79
101,102,5.8,2.7,5.1,1.9,Iris-virginica,15.66
102,103,7.1,3.0,5.9,2.1,Iris-virginica,21.299999999999997
103,104,6.3,2.9,5.6,1.8,Iris-virginica,18.27
104,105,6.5,3.0,5.8,2.2,Iris-virginica,19.5
105,106,7.6,3.0,6.6,2.1,Iris-virginica,22.799999999999997
106,107,4.9,2.5,4.5,1.7,Iris-virginica,12.25
107,108,7.3,2.9,6.3,1.8,Iris-virginica,21.169999999999998
108,109,6.7,2.5,5.8,1.8,Iris-virginica,16.75
109,110,7.2,3.6,6.1,2.5,Iris-virginica,25.92
110,111,6.5,3.2,5.1,2.0,Iris-virginica,20.8
111,112,6.4,2.7,5.3,1.9,Iris-virginica,17.28
112,113,6.8,3.0,5.5,2.1,Iris-virginica,20.4
113,114,5.7,2.5,5.0,2.0,Iris-virginica,14.25
114,115,5.8,2.8,5.1,2.4,Iris-virginica,16.24
115,116,6.4,3.2,5.3,2.3,Iris-virginica,20.480000000000004
116,117,6.5,3.0,5.5,1.8,Iris-virginica,19.5
117,118,7.7,3.8,6.7,2.2,Iris-virginica,29.259999999999998
118,119,7.7,2.6,6.9,2.3,Iris-virginica,20.02
119,120,6.0,2.2,5.0,1.5,Iris-virginica,13.200000000000001
120,121,6.9,3.2,5.7,2.3,Iris-virginica,22.080000000000002
121,122,5.6,2.8,4.9,2.0,Iris-virginica,15.679999999999998
122,123,7.7,2.8,6.7,2.0,Iris-virginica,21.56
123,124,6.3,2.7,4.9,1.8,Iris-virginica,17.01
124,125,6.7,3.3,5.7,2.1,Iris-virginica,22.11
125,126,7.2,3.2,6.0,1.8,Iris-virginica,23.040000000000003
126,127,6.2,2.8,4.8,1.8,Iris-virginica,17.36
127,128,6.1,3.0,4.9,1.8,Iris-virginica,18.299999999999997
128,129,6.4,2.8,5.6,2.1,Iris-virginica,17.919999999999998
129,130,7.2,3.0,5.8,1.6,Iris-virginica,21.6
130,131,7.4,2.8,6.1,1.9,Iris-virginica,20.72
131,132,7.9,3.8,6.4,2.0,Iris-virginica,30.02
132,133,6.4,2.8,5.6,2.2,Iris-virginica,17.919999999999998
133,134,6.3,2.8,5.1,1.5,Iris-virginica,17.639999999999997
134,135,6.1,2.6,5.6,1.4,Iris-virginica,15.86
135,136,7.7,3.0,6.1,2.3,Iris-virginica,23.1
136,137,6.3,3.4,5.6,2.4,Iris-virginica,21.419999999999998
137,138,6.4,3.1,5.5,1.8,Iris-virginica,19.840000000000003
138,139,6.0,3.0,4.8,1.8,Iris-virginica,18.0
139,140,6.9,3.1,5.4,2.1,Iris-virginica,21.39
140,141,6.7,3.1,5.6,2.4,Iris-virginica,20.77
141,142,6.9,3.1,5.1,2.3,Iris-virginica,21.39
142,143,5.8,2.7,5.1,1.9,Iris-virginica,15.66
143,144,6.8,3.2,5.9,2.3,Iris-virginica,21.76
144,145,6.7,3.3,5.7,2.5,Iris-virginica,22.11
145,146,6.7,3.0,5.2,2.3,Iris-virginica,20.1
146,147,6.3,2.5,5.0,1.9,Iris-virginica,15.75
147,148,6.5,3.0,5.2,2.0,Iris-virginica,19.5
148,149,6.2,3.4,5.4,2.3,Iris-virginica,21.08
149,150,5.9,3.0,5.1,1.8,Iris-virginica,17.700000000000003
